Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds
2015-08-15,Porto,Guimaraes,3.0,0.0,H,,,,,,,,,,,,
2015-08-22,Maritimo,Porto,1.0,1.0,D,,,,,,,,,,,,
2015-08-29,Porto,Estoril,2.0,0.0,H,,,,,,,,,,,,
2015-09-12,Arouca,Porto,1.0,3.0,A,,,,,,,,,,,,
2015-09-20,Porto,Benfica,1.0,0.0,H,,,,,,,,,,,,
2015-09-25,Moreirense,Porto,2.0,2.0,D,,,,,,,,,,,,
2015-10-04,Porto,Belenenses,4.0,0.0,H,,,,,,,,,,,,
2015-10-25,Porto,Sp Braga,0.0,0.0,D,,,,,,,,,,,,
2015-11-08,Porto,Setubal,2.0,0.0,H,,,,,,,,,,,,
2015-11-28,Tondela,Porto,0.0,1.0,A,,,,,,,,,,,,
2015-12-02,Uniao Madeira,Porto,0.0,4.0,A,,,,,,,,,,,,
2015-12-05,Porto,Pacos Ferreira,2.0,1.0,H,,,,,,,,,,,,
2015-12-14,Nacional,Porto,1.0,2.0,A,,,,,,,,,,,,
2015-12-20,Porto,Academica,3.0,1.0,H,,,,,,,,,,,,
2016-01-02,Sp Lisbon,Porto,2.0,0.0,H,,,,,,,,,,,,
2016-01-06,Porto,Rio Ave,1.0,1.0,D,,,,,,,,,,,,
2016-01-10,Boavista,Porto,0.0,5.0,A,,,,,,,,,,,,
2016-01-17,Guimaraes,Porto,1.0,0.0,H,,,,,,,,,,,,
2016-01-24,Porto,Maritimo,1.0,0.0,H,,,,,,,,,,,,
2016-01-30,Estoril,Porto,1.0,3.0,A,,,,,,,,,,,,
2016-02-07,Porto,Arouca,1.0,2.0,A,,,,,,,,,,,,
2016-02-12,Benfica,Porto,1.0,2.0,A,,,,,,,,,,,,
2016-02-21,Porto,Moreirense,3.0,2.0,H,,,,,,,,,,,,
2016-02-28,Belenenses,Porto,1.0,2.0,A,,,,,,,,,,,,
2016-03-06,Sp Braga,Porto,3.0,1.0,H,,,,,,,,,,,,
2016-03-12,Porto,Uniao Madeira,3.0,2.0,H,,,,,,,,,,,,
2016-03-19,Setubal,Porto,0.0,1.0,A,,,,,,,,,,,,
2016-04-04,Porto,Tondela,0.0,1.0,A,,,,,,,,,,,,
2016-04-10,Pacos Ferreira,Porto,1.0,0.0,H,,,,,,,,,,,,
2016-04-17,Porto,Nacional,4.0,0.0,H,,,,,,,,,,,,
2016-04-23,Academica,Porto,1.0,2.0,A,,,,,,,,,,,,
2016-04-30,Porto,Sp Lisbon,1.0,3.0,A,,,,,,,,,,,,
2016-05-07,Rio Ave,Porto,1.0,3.0,A,,,,,,,,,,,,
2016-05-14,Porto,Boavista,4.0,0.0,H,,,,,,,,,,,,
2016-08-12,Rio Ave,Porto,1.0,3.0,A,,,,,,,,,,,,
2016-08-20,Porto,Estoril,1.0,0.0,H,,,,,,,,,,,,
2016-08-28,Sp Lisbon,Porto,2.0,1.0,H,,,,,,,,,,,,
2016-09-10,Porto,Guimaraes,3.0,0.0,H,,,,,,,,,,,,
2016-09-18,Tondela,Porto,0.0,0.0,D,,,,,,,,,,,,
2016-09-23,Porto,Boavista,3.0,1.0,H,,,,,,,,,,,,
2016-10-01,Nacional,Porto,0.0,4.0,A,,,,,,,,,,,,
2016-10-22,Porto,Arouca,3.0,0.0,H,,,,,,,,,,,,
2016-10-29,Setubal,Porto,0.0,0.0,D,,,,,,,,,,,,
2016-11-06,Porto,Benfica,1.0,1.0,D,,,,,,,,,,,,
2016-11-26,Belenenses,Porto,0.0,0.0,D,,,,,,,,,,,,
2016-12-03,Porto,Sp Braga,1.0,0.0,H,,,,,,,,,,,,
2016-12-11,Feirense,Porto,0.0,4.0,A,,,,,,,,,,,,
2016-12-15,Porto,Maritimo,2.0,1.0,H,,,,,,,,,,,,
2016-12-19,Porto,Chaves,2.0,1.0,H,,,,,,,,,,,,
2017-01-07,Pacos Ferreira,Porto,0.0,0.0,D,,,,,,,,,,,,
2017-01-15,Porto,Moreirense,3.0,0.0,H,,,,,,,,,,,,
2017-01-21,Porto,Rio Ave,4.0,2.0,H,,,,,,,,,,,,
2017-01-28,Estoril,Porto,1.0,2.0,A,,,,,,,,,,,,
2017-02-04,Porto,Sp Lisbon,2.0,1.0,H,,,,,,,,,,,,
2017-02-11,Guimaraes,Porto,0.0,2.0,A,,,,,,,,,,,,
2017-02-17,Porto,Tondela,4.0,0.0,H,,,,,,,,,,,,
2017-02-26,Boavista,Porto,0.0,1.0,A,,,,,,,,,,,,
2017-03-04,Porto,Nacional,7.0,0.0,H,,,,,,,,,,,,
2017-03-10,Arouca,Porto,0.0,4.0,A,,,,,,,,,,,,
2017-03-19,Porto,Setubal,1.0,1.0,D,,,,,,,,,,,,
2017-04-01,Benfica,Porto,1.0,1.0,D,,,,,,,,,,,,
2017-04-08,Porto,Belenenses,3.0,0.0,H,,,,,,,,,,,,
2017-04-15,Sp Braga,Porto,1.0,1.0,D,,,,,,,,,,,,
2017-04-23,Porto,Feirense,0.0,0.0,D,,,,,,,,,,,,
2017-04-29,Chaves,Porto,0.0,2.0,A,,,,,,,,,,,,
2017-05-06,Maritimo,Porto,1.0,1.0,D,,,,,,,,,,,,
2017-05-14,Porto,Pacos Ferreira,4.0,1.0,H,,,,,,,,,,,,
2017-05-21,Moreirense,Porto,3.0,1.0,H,,,,,,,,,,,,
2017-08-09,Porto,Estoril,4.0,0.0,H,17.0,10.0,8.0,4.0,10.0,5.0,18.0,12.0,1.0,1.0,0.0,0.0
2017-08-13,Tondela,Porto,0.0,1.0,A,5.0,15.0,2.0,6.0,2.0,6.0,22.0,10.0,3.0,2.0,0.0,0.0
2017-08-20,Porto,Moreirense,3.0,0.0,H,27.0,6.0,11.0,2.0,13.0,3.0,12.0,9.0,0.0,2.0,0.0,0.0
2017-08-27,Sp Braga,Porto,0.0,1.0,A,14.0,21.0,0.0,7.0,5.0,7.0,21.0,10.0,3.0,4.0,0.0,0.0
2017-09-09,Porto,Chaves,3.0,0.0,H,14.0,8.0,7.0,3.0,8.0,2.0,16.0,14.0,1.0,3.0,0.0,0.0
2017-09-17,Rio Ave,Porto,1.0,2.0,A,5.0,8.0,2.0,5.0,2.0,4.0,10.0,24.0,5.0,4.0,1.0,0.0
2017-09-22,Porto,Portimonense,5.0,2.0,H,16.0,9.0,9.0,6.0,5.0,4.0,13.0,9.0,2.0,2.0,0.0,0.0
2017-10-01,Sp Lisbon,Porto,0.0,0.0,D,3.0,9.0,1.0,6.0,10.0,2.0,13.0,17.0,2.0,3.0,0.0,0.0
2017-10-21,Porto,Pacos Ferreira,6.0,1.0,H,17.0,6.0,12.0,3.0,6.0,2.0,12.0,20.0,2.0,4.0,0.0,0.0
2017-10-28,Boavista,Porto,0.0,3.0,A,6.0,12.0,1.0,6.0,7.0,5.0,18.0,19.0,6.0,5.0,0.0,0.0
2017-11-04,Porto,Belenenses,2.0,0.0,H,17.0,6.0,9.0,3.0,8.0,3.0,12.0,10.0,0.0,1.0,0.0,0.0
2017-11-25,Aves,Porto,1.0,1.0,D,11.0,8.0,3.0,1.0,2.0,4.0,17.0,15.0,4.0,3.0,0.0,1.0
2017-12-01,Porto,Benfica,0.0,0.0,D,9.0,3.0,5.0,1.0,7.0,5.0,5.0,15.0,1.0,3.0,0.0,1.0
2017-12-10,Setubal,Porto,0.0,5.0,A,4.0,14.0,1.0,9.0,2.0,7.0,16.0,21.0,2.0,2.0,0.0,0.0
2017-12-18,Porto,Maritimo,3.0,1.0,H,15.0,4.0,5.0,2.0,9.0,1.0,13.0,11.0,1.0,3.0,0.0,1.0
2018-01-03,Feirense,Porto,1.0,2.0,A,2.0,10.0,2.0,5.0,2.0,10.0,19.0,18.0,4.0,5.0,0.0,1.0
2018-01-07,Porto,Guimaraes,4.0,2.0,H,14.0,4.0,8.0,2.0,5.0,3.0,13.0,16.0,0.0,3.0,0.0,0.0
2018-01-19,Porto,Tondela,1.0,0.0,H,17.0,2.0,10.0,0.0,12.0,7.0,13.0,14.0,0.0,1.0,0.0,0.0
2018-01-30,Moreirense,Porto,0.0,0.0,D,1.0,12.0,0.0,2.0,2.0,4.0,20.0,11.0,4.0,1.0,1.0,0.0
2018-02-03,Porto,Sp Braga,3.0,1.0,H,11.0,7.0,6.0,3.0,7.0,3.0,23.0,13.0,1.0,2.0,0.0,0.0
2018-02-11,Chaves,Porto,0.0,4.0,A,5.0,12.0,2.0,6.0,1.0,3.0,7.0,20.0,2.0,4.0,0.0,0.0
2018-02-18,Porto,Rio Ave,5.0,0.0,H,12.0,5.0,7.0,4.0,9.0,4.0,25.0,12.0,2.0,2.0,0.0,0.0
2018-02-21,Estoril,Porto,1.0,3.0,A,11.0,24.0,3.0,13.0,3.0,7.0,27.0,19.0,3.0,3.0,0.0,0.0
2018-02-25,Portimonense,Porto,1.0,5.0,A,9.0,7.0,5.0,6.0,1.0,4.0,23.0,19.0,1.0,0.0,0.0,0.0
2018-03-02,Porto,Sp Lisbon,2.0,1.0,H,8.0,11.0,3.0,5.0,7.0,9.0,23.0,10.0,2.0,2.0,0.0,0.0
2018-03-11,Pacos Ferreira,Porto,1.0,0.0,H,9.0,9.0,4.0,3.0,3.0,15.0,15.0,21.0,4.0,2.0,0.0,0.0
2018-03-17,Porto,Boavista,2.0,0.0,H,9.0,4.0,5.0,2.0,10.0,3.0,17.0,11.0,2.0,4.0,0.0,0.0
2018-04-02,Belenenses,Porto,2.0,0.0,H,4.0,17.0,3.0,8.0,0.0,9.0,10.0,15.0,1.0,3.0,0.0,0.0
2018-04-08,Porto,Aves,2.0,0.0,H,16.0,4.0,8.0,0.0,7.0,4.0,11.0,22.0,0.0,2.0,0.0,0.0
2018-04-15,Benfica,Porto,0.0,1.0,A,5.0,6.0,2.0,2.0,7.0,3.0,19.0,15.0,2.0,5.0,0.0,0.0
2018-04-23,Porto,Setubal,5.0,1.0,H,6.0,7.0,5.0,3.0,3.0,3.0,21.0,13.0,2.0,1.0,0.0,0.0
2018-04-29,Maritimo,Porto,0.0,1.0,A,2.0,12.0,1.0,6.0,3.0,7.0,18.0,18.0,3.0,3.0,2.0,0.0
2018-05-06,Porto,Feirense,2.0,1.0,H,16.0,6.0,4.0,1.0,3.0,5.0,11.0,16.0,1.0,3.0,0.0,0.0
2018-05-12,Guimaraes,Porto,0.0,1.0,A,5.0,16.0,2.0,8.0,0.0,8.0,21.0,16.0,1.0,0.0,0.0,0.0
2018-08-11,Porto,Chaves,5.0,0.0,H,14.0,2.0,6.0,0.0,7.0,0.0,11.0,12.0,0.0,2.0,0.0,1.0
2018-08-19,Belenenses,Porto,2.0,3.0,A,12.0,16.0,5.0,6.0,6.0,5.0,17.0,11.0,2.0,3.0,0.0,0.0
2018-08-25,Porto,Guimaraes,2.0,3.0,A,18.0,8.0,10.0,3.0,8.0,3.0,16.0,12.0,3.0,2.0,0.0,0.0
2018-09-02,Porto,Moreirense,3.0,0.0,H,15.0,7.0,5.0,3.0,11.0,4.0,16.0,11.0,2.0,1.0,0.0,0.0
2018-09-22,Setubal,Porto,0.0,2.0,A,10.0,11.0,2.0,4.0,6.0,2.0,13.0,16.0,1.0,2.0,0.0,0.0
2018-09-28,Porto,Tondela,1.0,0.0,H,31.0,7.0,9.0,0.0,11.0,2.0,19.0,22.0,3.0,5.0,0.0,0.0
2018-10-07,Benfica,Porto,1.0,0.0,H,10.0,11.0,2.0,1.0,2.0,4.0,24.0,20.0,4.0,5.0,1.0,0.0
2018-10-28,Porto,Feirense,2.0,0.0,H,17.0,6.0,7.0,3.0,4.0,6.0,21.0,11.0,1.0,3.0,0.0,0.0
2018-11-03,Maritimo,Porto,0.0,2.0,A,6.0,15.0,2.0,4.0,4.0,11.0,16.0,15.0,4.0,2.0,1.0,0.0
2018-11-10,Porto,Sp Braga,1.0,0.0,H,17.0,10.0,3.0,2.0,9.0,5.0,16.0,18.0,1.0,1.0,0.0,0.0
2018-12-02,Boavista,Porto,0.0,1.0,A,4.0,24.0,2.0,6.0,1.0,8.0,25.0,11.0,6.0,1.0,0.0,0.0
2018-12-07,Porto,Portimonense,4.0,1.0,H,25.0,8.0,9.0,4.0,8.0,0.0,10.0,10.0,2.0,1.0,0.0,0.0
2018-12-15,Santa Clara,Porto,1.0,2.0,A,10.0,14.0,3.0,8.0,6.0,8.0,21.0,24.0,1.0,3.0,0.0,0.0
2018-12-23,Porto,Rio Ave,2.0,1.0,H,17.0,7.0,4.0,4.0,4.0,2.0,16.0,18.0,1.0,4.0,0.0,1.0
2019-01-03,Aves,Porto,0.0,1.0,A,13.0,10.0,2.0,4.0,4.0,4.0,22.0,20.0,2.0,1.0,0.0,0.0
2019-01-07,Porto,Nacional,3.0,1.0,H,13.0,8.0,4.0,3.0,6.0,6.0,17.0,10.0,0.0,0.0,0.0,0.0
2019-01-12,Sp Lisbon,Porto,0.0,0.0,D,12.0,9.0,3.0,1.0,7.0,3.0,23.0,19.0,4.0,4.0,0.0,0.0
2019-01-18,Chaves,Porto,1.0,4.0,A,10.0,15.0,3.0,6.0,5.0,6.0,20.0,10.0,1.0,2.0,0.0,0.0
2019-01-30,Porto,Belenenses,3.0,0.0,H,17.0,12.0,8.0,2.0,4.0,2.0,18.0,17.0,1.0,2.0,0.0,1.0
2019-02-03,Guimaraes,Porto,0.0,0.0,D,8.0,22.0,3.0,6.0,1.0,9.0,19.0,19.0,1.0,4.0,0.0,0.0
2019-02-08,Moreirense,Porto,1.0,1.0,D,14.0,13.0,2.0,3.0,4.0,8.0,19.0,9.0,4.0,0.0,0.0,0.0
2019-02-16,Porto,Setubal,2.0,0.0,H,20.0,3.0,6.0,0.0,7.0,2.0,16.0,7.0,3.0,5.0,0.0,1.0
2019-02-22,Tondela,Porto,0.0,3.0,A,11.0,15.0,2.0,5.0,3.0,6.0,13.0,25.0,1.0,1.0,0.0,0.0
2019-03-02,Porto,Benfica,1.0,2.0,A,21.0,9.0,7.0,4.0,4.0,3.0,12.0,21.0,2.0,6.0,0.0,1.0
2019-03-10,Feirense,Porto,1.0,2.0,A,5.0,17.0,1.0,5.0,3.0,10.0,18.0,15.0,2.0,0.0,0.0,0.0
2019-03-16,Porto,Maritimo,3.0,0.0,H,31.0,0.0,8.0,0.0,11.0,0.0,12.0,8.0,1.0,2.0,0.0,1.0
2019-03-30,Sp Braga,Porto,2.0,3.0,A,9.0,14.0,3.0,6.0,4.0,5.0,22.0,11.0,1.0,4.0,0.0,0.0
2019-04-05,Porto,Boavista,2.0,0.0,H,17.0,5.0,7.0,1.0,8.0,0.0,15.0,17.0,0.0,2.0,0.0,0.0
2019-04-13,Portimonense,Porto,0.0,3.0,A,9.0,11.0,1.0,5.0,3.0,7.0,14.0,19.0,4.0,2.0,0.0,0.0
2019-04-20,Porto,Santa Clara,1.0,0.0,H,14.0,6.0,5.0,2.0,4.0,2.0,14.0,13.0,2.0,1.0,0.0,0.0
2019-04-26,Rio Ave,Porto,2.0,2.0,D,10.0,10.0,4.0,4.0,3.0,4.0,12.0,14.0,3.0,1.0,1.0,0.0
2019-05-04,Porto,Aves,4.0,0.0,H,19.0,7.0,11.0,1.0,6.0,3.0,14.0,16.0,1.0,2.0,0.0,0.0
2019-05-12,Nacional,Porto,0.0,4.0,A,11.0,17.0,3.0,6.0,5.0,4.0,15.0,17.0,1.0,0.0,0.0,0.0
2019-05-18,Porto,Sp Lisbon,2.0,1.0,H,29.0,2.0,8.0,1.0,17.0,1.0,18.0,11.0,4.0,4.0,1.0,1.0
2019-08-10,Gil Vicente,Porto,2.0,1.0,H,13.0,16.0,7.0,5.0,4.0,6.0,15.0,19.0,3.0,3.0,0.0,0.0
2019-08-17,Porto,Setubal,4.0,0.0,H,23.0,6.0,10.0,5.0,7.0,0.0,16.0,16.0,0.0,2.0,0.0,0.0
2019-08-24,Benfica,Porto,0.0,2.0,A,6.0,11.0,1.0,5.0,5.0,4.0,15.0,12.0,2.0,5.0,0.0,0.0
2019-09-01,Porto,Guimaraes,3.0,0.0,H,18.0,8.0,10.0,3.0,7.0,5.0,19.0,7.0,3.0,3.0,0.0,2.0
2019-09-15,Portimonense,Porto,2.0,3.0,A,8.0,21.0,4.0,6.0,1.0,10.0,10.0,14.0,1.0,1.0,0.0,1.0
2019-09-22,Porto,Santa Clara,2.0,0.0,H,19.0,6.0,7.0,2.0,9.0,0.0,25.0,11.0,4.0,4.0,0.0,0.0
2019-09-29,Rio Ave,Porto,0.0,1.0,A,8.0,13.0,1.0,5.0,0.0,6.0,15.0,15.0,3.0,3.0,0.0,0.0
2019-10-27,Porto,Famalicao,3.0,0.0,H,19.0,5.0,9.0,2.0,4.0,3.0,14.0,12.0,0.0,3.0,0.0,0.0
2019-10-30,Maritimo,Porto,1.0,1.0,D,6.0,14.0,2.0,5.0,6.0,9.0,17.0,20.0,4.0,5.0,0.0,0.0
2019-11-03,Porto,Aves,1.0,0.0,H,12.0,9.0,4.0,0.0,6.0,2.0,21.0,15.0,1.0,1.0,0.0,0.0
2019-11-10,Boavista,Porto,0.0,1.0,A,7.0,9.0,1.0,1.0,3.0,6.0,14.0,16.0,3.0,1.0,0.0,0.0
2019-12-02,Porto,Pacos Ferreira,2.0,0.0,H,8.0,5.0,6.0,4.0,8.0,1.0,18.0,13.0,2.0,3.0,0.0,0.0
2019-12-08,Belenenses,Porto,1.0,1.0,D,5.0,16.0,3.0,7.0,2.0,4.0,21.0,18.0,7.0,2.0,0.0,0.0
2019-12-16,Porto,Tondela,3.0,0.0,H,12.0,2.0,5.0,0.0,8.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0
2020-01-05,Sp Lisbon,Porto,1.0,2.0,A,11.0,9.0,2.0,7.0,4.0,3.0,21.0,16.0,5.0,5.0,0.0,0.0
2020-01-10,Moreirense,Porto,2.0,4.0,A,8.0,14.0,5.0,6.0,4.0,7.0,11.0,11.0,2.0,4.0,0.0,1.0
2020-01-17,Porto,Sp Braga,1.0,2.0,A,7.0,2.0,3.0,1.0,10.0,5.0,21.0,14.0,5.0,6.0,0.0,0.0
2020-01-28,Porto,Gil Vicente,2.0,1.0,H,6.0,6.0,2.0,2.0,5.0,2.0,24.0,24.0,2.0,3.0,0.0,1.0
2020-02-01,Setubal,Porto,0.0,4.0,A,7.0,20.0,2.0,6.0,3.0,5.0,13.0,11.0,1.0,2.0,0.0,0.0
2020-02-08,Porto,Benfica,3.0,2.0,H,17.0,9.0,4.0,3.0,4.0,4.0,12.0,19.0,4.0,6.0,0.0,0.0
2020-02-16,Guimaraes,Porto,1.0,2.0,A,13.0,8.0,3.0,1.0,4.0,5.0,14.0,17.0,0.0,2.0,0.0,0.0
2020-02-23,Porto,Portimonense,1.0,0.0,H,24.0,6.0,4.0,0.0,8.0,3.0,13.0,18.0,2.0,5.0,0.0,0.0
2020-03-02,Santa Clara,Porto,0.0,2.0,A,11.0,7.0,1.0,2.0,2.0,3.0,17.0,15.0,2.0,3.0,0.0,0.0
2020-03-07,Porto,Rio Ave,1.0,1.0,D,23.0,6.0,5.0,3.0,9.0,3.0,11.0,9.0,1.0,4.0,0.0,0.0
2020-06-03,Famalicao,Porto,2.0,1.0,H,7.0,16.0,2.0,6.0,1.0,7.0,20.0,15.0,4.0,1.0,0.0,0.0
2020-06-10,Porto,Maritimo,1.0,0.0,H,15.0,10.0,8.0,1.0,8.0,1.0,15.0,13.0,4.0,3.0,0.0,0.0
2020-06-16,Aves,Porto,0.0,0.0,D,5.0,24.0,0.0,8.0,1.0,12.0,21.0,20.0,6.0,3.0,0.0,0.0
2020-06-23,Porto,Boavista,4.0,0.0,H,12.0,6.0,7.0,2.0,6.0,3.0,17.0,19.0,2.0,3.0,0.0,0.0
2020-06-29,Pacos Ferreira,Porto,0.0,1.0,A,11.0,5.0,3.0,3.0,5.0,4.0,19.0,18.0,3.0,3.0,0.0,0.0
2020-07-05,Porto,Belenenses,5.0,0.0,H,17.0,10.0,7.0,1.0,3.0,5.0,18.0,14.0,2.0,3.0,0.0,0.0
2020-07-09,Tondela,Porto,1.0,3.0,A,9.0,13.0,2.0,4.0,3.0,3.0,15.0,17.0,3.0,4.0,0.0,0.0
